id,Period,Data_value,Series_title_2
228,2018.07,53.9,Credit card usage as a proportion of total ECT value
229,2018.08,53.9,Credit card usage as a proportion of total ECT value
230,2018.09,54.5,Credit card usage as a proportion of total ECT value
231,2018.10,55.3,Credit card usage as a proportion of total ECT value
232,2018.11,56,Credit card usage as a proportion of total ECT value
233,2018.12,55.6,Credit card usage as a proportion of total ECT value
234,2019.01,56.4,Credit card usage as a proportion of total ECT value
235,2019.02,56.8,Credit card usage as a proportion of total ECT value
236,2019.03,56.3,Credit card usage as a proportion of total ECT value
237,2019.04,55.6,Credit card usage as a proportion of total ECT value
238,2019.05,54.8,Credit card usage as a proportion of total ECT value
239,2019.06,55.1,Credit card usage as a proportion of total ECT value
240,2019.07,55,Credit card usage as a proportion of total ECT value
241,2019.08,54.8,Credit card usage as a proportion of total ECT value
242,2019.09,55.6,Credit card usage as a proportion of total ECT value
243,2019.10,55.7,Credit card usage as a proportion of total ECT value
244,2019.11,56.8,Credit card usage as a proportion of total ECT value
245,2019.12,56.6,Credit card usage as a proportion of total ECT value
246,2020.01,57.3,Credit card usage as a proportion of total ECT value
247,2020.02,57.1,Credit card usage as a proportion of total ECT value
248,2020.03,57.9,Credit card usage as a proportion of total ECT value
249,2020.04,68.5,Credit card usage as a proportion of total ECT value
250,2020.05,64,Credit card usage as a proportion of total ECT value
251,2020.06,61.1,Credit card usage as a proportion of total ECT value
252,2020.07,59.8,Credit card usage as a proportion of total ECT value
253,2020.08,61.3,Credit card usage as a proportion of total ECT value
254,2020.09,61.3,Credit card usage as a proportion of total ECT value
255,2020.10,61.3,Credit card usage as a proportion of total ECT value
256,2020.11,61.7,Credit card usage as a proportion of total ECT value
257,2020.12,61.3,Credit card usage as a proportion of total ECT value
258,2021.01,61.3,Credit card usage as a proportion of total ECT value
259,2021.02,61.4,Credit card usage as a proportion of total ECT value
260,2021.03,62.1,Credit card usage as a proportion of total ECT value
261,2021.04,61.7,Credit card usage as a proportion of total ECT value
262,2021.05,62,Credit card usage as a proportion of total ECT value
263,2021.06,62.4,Credit card usage as a proportion of total ECT value
264,2021.07,63.1,Credit card usage as a proportion of total ECT value
265,2021.08,66,Credit card usage as a proportion of total ECT value
266,2021.09,67.2,Credit card usage as a proportion of total ECT value
267,2021.10,66.9,Credit card usage as a proportion of total ECT value
268,2021.11,67,Credit card usage as a proportion of total ECT value
269,2021.12,66.2,Credit card usage as a proportion of total ECT value
270,2022.01,66.2,Credit card usage as a proportion of total ECT value
271,2022.02,65.9,Credit card usage as a proportion of total ECT value
272,2022.03,66.6,Credit card usage as a proportion of total ECT value
273,2022.04,66.2,Credit card usage as a proportion of total ECT value
274,2022.05,66.6,Credit card usage as a proportion of total ECT value
275,2022.06,66.7,Credit card usage as a proportion of total ECT value
276,2022.07,66.9,Credit card usage as a proportion of total ECT value
277,2022.08,66.6,Credit card usage as a proportion of total ECT value
278,2022.09,66.9,Credit card usage as a proportion of total ECT value
279,2022.10,67.1,Credit card usage as a proportion of total ECT value
280,2022.11,67.5,Credit card usage as a proportion of total ECT value
281,2022.12,67.3,Credit card usage as a proportion of total ECT value
282,2002.10,57.3,Debit card usage as a proportion of total ECT value
283,2002.11,55.2,Debit card usage as a proportion of total ECT value
284,2002.12,54.6,Debit card usage as a proportion of total ECT value
285,2003.01,55.2,Debit card usage as a proportion of total ECT value
286,2003.02,54.1,Debit card usage as a proportion of total ECT value
287,2003.03,54.9,Debit card usage as a proportion of total ECT value
288,2003.04,56.6,Debit card usage as a proportion of total ECT value
289,2003.05,57.5,Debit card usage as a proportion of total ECT value
290,2003.06,57.6,Debit card usage as a proportion of total ECT value
291,2003.07,57,Debit card usage as a proportion of total ECT value
292,2003.08,57.5,Debit card usage as a proportion of total ECT value
293,2003.09,56.9,Debit card usage as a proportion of total ECT value
294,2003.10,56.6,Debit card usage as a proportion of total ECT value
295,2003.11,54.9,Debit card usage as a proportion of total ECT value
296,2003.12,54.1,Debit card usage as a proportion of total ECT value
297,2004.01,54.7,Debit card usage as a proportion of total ECT value
298,2004.02,53.7,Debit card usage as a proportion of total ECT value
299,2004.03,53.5,Debit card usage as a proportion of total ECT value
300,2004.04,55.3,Debit card usage as a proportion of total ECT value
301,2004.05,55.8,Debit card usage as a proportion of total ECT value
302,2004.06,56,Debit card usage as a proportion of total ECT value
303,2004.07,55.8,Debit card usage as a proportion of total ECT value
304,2004.08,55.5,Debit card usage as a proportion of total ECT value
305,2004.09,55.6,Debit card usage as a proportion of total ECT value
306,2004.10,55,Debit card usage as a proportion of total ECT value
307,2004.11,53.4,Debit card usage as a proportion of total ECT value
308,2004.12,53.8,Debit card usage as a proportion of total ECT value
309,2005.01,54.2,Debit card usage as a proportion of total ECT value
310,2005.02,52.7,Debit card usage as a proportion of total ECT value
311,2005.03,53.3,Debit card usage as a proportion of total ECT value
312,2005.04,54.9,Debit card usage as a proportion of total ECT value
313,2005.05,55.5,Debit card usage as a proportion of total ECT value
314,2005.06,55.8,Debit card usage as a proportion of total ECT value
315,2005.07,55.2,Debit card usage as a proportion of total ECT value
316,2005.08,55.2,Debit card usage as a proportion of total ECT value
317,2005.09,55.3,Debit card usage as a proportion of total ECT value
318,2005.10,54.9,Debit card usage as a proportion of total ECT value
